"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001528",1082.7443935375,"1st most deprived"
"S02001529",5089.7245496863,"9"
"S02001530",2746.40524475524,"4"
"S02001531",2108.30367143746,"3"
"S02001532",4328.42588932806,"7"
"S02001533",3412.62476109577,"5"
"S02001534",3030.72975814932,"4"
"S02001535",3634.86795774648,"6"
"S02001536",5144.85832232497,"9"
"S02001537",2430.87591389115,"3"
"S02001538",2395.29078321073,"3"
"S02001539",1815.2815002107,"2"
"S02001540",2720.18206181883,"4"
"S02001541",3032.01517627831,"4"
"S02001542",4275.1476661461,"7"
"S02001543",3171.39258387287,"5"
"S02001544",3862.71934197408,"6"
"S02001545",2811.28517371861,"4"
"S02001546",4582.14060878589,"8"
"S02001547",4657.77559875043,"8"
"S02001548",4629.52491145218,"8"
"S02001549",2912.06798748697,"4"
"S02001550",5150.03209651719,"9"
"S02001551",5956.07267175573,"10 least deprived"
"S02001552",5301.63371537727,"9"
"S02001553",4913.9327616449,"8"
"S02001554",3835.20078354554,"6"
"S02001555",4615.16108966109,"8"
"S02001556",4229.21467218332,"7"
"S02001557",5213.23076923077,"9"
"S02001558",1659.64385113269,"2"
"S02001559",3784.96098049025,"6"
"S02001560",1997.4600240096,"3"
"S02001561",5584.74502440856,"9"
"S02001562",4886.57811993517,"8"
"S02001563",6916.52875357793,"10 least deprived"
"S02001564",6145.61728971963,"10 least deprived"
"S02001565",4963.84265458842,"8"
"S02001566",6335.84867629362,"10 least deprived"
"S02001567",4470.69270833333,"8"
"S02001568",6812.25328,"10 least deprived"
"S02001569",6787.61996927803,"10 least deprived"
"S02001570",6097.25629351901,"10 least deprived"
"S02001571",6642.03434386262,"10 least deprived"
"S02001572",6371.10748047678,"10 least deprived"
"S02001573",6789.03650474274,"10 least deprived"
"S02001574",4742.18179447053,"8"
"S02001575",4399.82434438397,"7"
"S02001576",5720.17509861087,"9"
"S02001577",5989.43366527465,"10 least deprived"
"S02001578",6066.08517732646,"10 least deprived"
"S02001579",6133.05147915211,"10 least deprived"
"S02001580",6510.7805454155,"10 least deprived"
"S02001581",6257.11956752173,"10 least deprived"
